string,hash,bin_offset
TraitOneTimePasserGroundPassDecisionDistToTargetMod,5D 2B 94 84 A1 16 F1 BF,
TraitOneTimePasserGroundPassDecisionDribbleMinSpace,8D 70 7D BC 01 1B 51 6A,
TraitOneTimePasserGroundPassDecisionMinCourseSafety,88 77 99 56 38 42 A4 06,
TraitOneTimePasserGroundPassDecisionSpaceRatingMod,55 DF 3F E3 97 45 96 55,
TraitPlayMakerGroundPassDecisionDistToTargetMod,05 2B 22 44 74 14 25 15,
TraitPlayMakerGroundPassDecisionDribbleMinSpace,A4 91 3A 42 E6 35 6E A6,
TraitPlayMakerGroundPassDecisionMinCourseSafety,0D 28 55 D4 8D 51 04 0C,
TraitPlayMakerGroundPassDecisionSpaceRatingMod,25 69 BC D3 21 5C C7 75,
TraitPlayMakerPassMod,04 9B 4E 4B E1 09 2F A6,
TraitSelfishGroundPassDecisionDistToTargetMod,9B 2F 44 54 22 24 85 7F,
TraitSelfishGroundPassDecisionDribbleMinSpace,07 26 AF F1 47 9A EF 56,
TraitSelfishGroundPassDecisionMinCourseSafety,98 87 39 D5 E3 4A DC F3,
TraitSelfishGroundPassDecisionSpaceRatingMod,E3 4C C1 7E 9C A1 1E 5B,
TraitSpeedDribblerSprintSafetyForStart,BD B7 D8 2E 15 40 92 89,
TraitSpeedDribblerSprintSafetyForStop,8C 10 1F F9 4D 40 73 11,
TraitSwitchFlankMinRatingMod,DF 22 AF A3 D9 16 80 9A,
TraitSwitchFlankMinSpaceMod,CD A9 BB C8 E5 EE A2 84,
TraitThroughPasserThroughPassMod,A4 3A 53 18 74 37 C0 98,
CPUAI_WallChargeProbability_MoreThanOneFKTaker,FC 07 48 86 F0 75 1A 4F,
CPUAI_WallChargeProbability_OneFKTaker,D0 97 02 A4 78 DF 77 85,
CPUAI_WallJumpProbability_MoreThanOneFKTaker,01 75 78 C6 15 A0 83 04,
CPUAI_WallJumpProbability_OneFKTaker,69 1A 15 06 38 E6 3F F2,
CPUAI_MarkerPushPullChanceByDiffiuculty,E1 16 9B 3B 34 F6 46 07,32340
CPUAI_MarkerReactionAmount_BallDirectionChange,6B 1D 04 BD 3F C2 88 01,32420
CPUAI_MarkerReactionAmount_BallDirectionChangeSpeedModifier,36 70 F5 24 30 78 F6 36,32500
CPUAI_MarkerReactionAmount_BallSpeedChange,BE 9E 09 09 CE 85 18 6B,32580
CPUAI_MarkerReactionMaxBestDefenderTackling,7F 9E 92 77 88 2A 8C 8B,32660
CPUAI_MarkerReactionMaxWorstDefenderTackling,6A FF 1F E8 52 01 7A 0C,32740
CPUAI_MarkerReactionMaxBestDefender,37 6E 7B 5B 8C 7A C8 C3,32820
CPUAI_MarkerReactionMaxWorstDefender,08 F2 1E 95 63 CB 09 16,32900
CPUAI_MarkerReactionMinBestDefender,9E 36 AF B6 D8 65 42 8A,32980
CPUAI_MarkerReactionMinMarkingAttribForPrediction,DA 14 CD 9F E5 7A 44 11,33060
CPUAI_MarkerReactionMinWorstDefender,A4 1C 8D A4 A7 2A 0C C1,33140
CPUAI_MarkerReactionTime_MaxDifficulty,E9 F4 C0 6D A4 32 1A D8,33220
CPUAI_MarkerReactionTime_MinDifficulty,FC AC B6 EA D0 12 59 72,33300
CPUAI_MarkerReactionTimeDifficultyTable,32 03 4F 52 53 D3 06 0D,33380
CPUAI_TeamPressGeneral,AB 2D E2 EE 5C 48 90 CF,33460
CPUAI_TeamPressLosing,30 C7 DB 0F A6 57 01 5D,33476
CPUAI_TeamPressLosingGoals,E5 2E 38 23 5D 42 DE 3F,33492
CPUAI_TeamPressLosingTime,E9 53 1D 5E 65 6F 5F 9C,33508
MarkingContainDistance,FE 6C F4 4C 5A A6 B0 1D,33524
MarkingContainGoalPosFacingIn,B2 E6 ED 9F 8E 01 53 7B,33552
MarkingContainGoalPosFacingOut,AB F5 6C 26 69 AE F0 DE,33632
ThrowinMaxDistance,92 75 45 8F DD 35 44 C7,
TraitLongThrowThrowinMaxDistance,03 C5 9F 75 88 5D C2 A2,
shotPowerDecisionDistClose,5A D7 B3 A7 50 11 D8 F2,
shotPowerDecisionDistFar,88 DA DC 63 CB FE 6F 31,
shotPowerDecisionDistMid,46 D9 97 9A 43 A1 77 7D,
shotPowerMaxCloseDistBadAngle,83 EC 1D 4C 0E 6D A6 50,27780
shotPowerMaxCloseDistGoodAngle,30 CE 5E A2 9C 44 7F 10,27860
shotPowerMaxFarDistBadAngle,E8 79 BA E4 FA C1 E5 53,27940
shotPowerMaxFarDistGoodAngle,EC 05 27 C5 73 1C 8B 99,28020
shotPowerMaxMidDistBadAngle,06 29 76 6E 7C C1 D4 D2,28100
shotPowerMaxMidDistGoodAngle,44 FB 2F A2 7E 06 E4 41,28180
shotPowerMinCloseDistBadAngle,0F E7 2B CF 15 E2 D3 48,28260
shotPowerMinCloseGoodAngle,CF E1 C8 0D 2E 29 37 00,28340
shotPowerMinFarDistBadAngle,D8 00 9E 30 89 25 22 CF,28420
shotPowerMinFarDistGoodAngle,0D 89 BE 64 6C 92 72 F5,28500
shotPowerMinMidDistBadAngle,9B 91 F9 2F F3 1F B0 DD,28580
shotPowerMinMidDistGoodAngle,3F B4 F9 A6 0B A8 29 2B,28660
Jockey_PadEffectJockeyModifyDistance,54 FA 71 9A 6E DF 5E 14,30712
Jockey_PadEffectJockeyModifyDistance,54 FA 71 9A 6E DF 5E 14,33712
BlockForceMinDistanceFromOpponent,E2 90 22 2A AA EC C7 3B,33792
BlockHighDerterminationAggressionThreshold,25 29 39 17 40 BB 18 56,
BlockHighDerterminationAgilityThreshold,00 D8 40 7B 3A F9 0D 20,
BlockMaxAnglePlayerFacingToBall,CF 49 55 C8 3E 52 6D 8B,
BlockMaxDistance,42 5B 1B 83 23 CA 96 13,
BlockMaxHeight,B7 2B CE 13 88 9D 08 11,
BlockNumFramesToContact,FF D3 76 3F 08 B3 96 1D,
InterceptCostFactorAngle,4A 75 F5 D9 3C 2A D1 69,
InterceptCostFactorHeight,07 B5 64 63 86 25 8C 89,
InterceptCostFactorTime,CB F5 5A 0C 6C 1B 3E C3,
InterceptCostFactorXZ,5C F3 90 F7 D4 AD E9 87,
InterceptJogSpeed,87 C0 A6 82 0E 3F D2 6D,
InterceptMinStrafeSpeed,8C DC 97 26 6B CE 0A C5,
InterceptRunSpeed,DA 7A 51 84 93 C4 F3 FB,
Jockey_PadEffectJockeyModifyDistance,54 FA 71 9A 6E DF 5E 14,30712
Jockey_PadEffectJockeyModifyDistance,54 FA 71 9A 6E DF 5E 14,33712
Tackle_AggressionSkillDifference,B0 6E AB 3B AD F1 16 C4,
Tackle_AggressionThreshold,48 D7 AD 2E 24 AF EB 30,
Tackle_BallOutAngleRange_Best,D1 5B A0 A9 8D 40 79 B8,
Tackle_BallOutAngleRange_Worst,C5 5D B8 A7 58 36 E6 05,
Tackle_BallOutDragBackMinSpeed,3B 8C 88 06 B1 F0 02 6B,
Tackle_BallOutPitchRange_Best,D9 56 E2 98 AA AC 8C 56,
Tackle_BallOutPitchRange_Worst,29 A9 F3 57 45 CA 99 9F,
Tackle_BallOutSlideSpeedMin,DE F6 0D BC 04 A5 F9 4E,
Tackle_BallOutSlideSpeedMin_Possession,88 5D 35 2F F2 F5 91 27,
Tackle_BallOutSpeedMax,B3 3B F5 37 A5 76 FA E4,
Tackle_BallOutSpeedMin,C0 53 5B 06 F4 76 49 A2,
Tackle_BallOutSpeedMultiplier,39 BF 75 3C E8 1C 39 74,
Tackle_BallOutSpeedRange_Best,39 BF D0 9B 61 62 DA 59,
Tackle_BallOutSpeedRange_Worst,50 16 1A CE 67 E4 35 73,
Tackle_BallOutTendToIdealAngle_Best,35 1F A1 C8 A5 5D 9B C7,
Tackle_BallOutTendToIdealAngle_Worst,1F 0E F8 CD 3F 8D A8 65,
Tackle_BallOutTowardsTeammate_MaxAngle,5F B7 0A 56 ED F8 55 F6,
Tackle_BallOutTowardsTeammate_MaxDistance,45 1D 75 F2 44 36 BA C9,
Tackle_BallOutTowardsTeammate_MinAttribute,D5 6A 78 5A 3C 1E 05 C1,
Tackle_BallOutTowardsTeammate_MinDistance,98 30 89 E2 C6 F0 4C 27,
Tackle_BallOutTowardsTeammate_Speed,F6 A9 01 07 17 6A 47 95,30792
Tackle_ChaseVelocity,CE 3D 3D A4 75 41 31 7F,
Tackle_ChasingAngle,5A 29 12 EC CB 80 5C 5E,
Tackle_DragBackMaxXZBallVel,67 61 05 FA 4C 69 F8 B4,
Tackle_JogTackleSpeed_Slide,33 FB 6C 39 42 41 BD D6,
Tackle_ManualAssistance_BallDirection_Modifier,F9 AD 2E 52 F0 DA 22 7B,30872
Tackle_ManualAssistance_EffortThreshold,63 F0 4E D5 0B EE 6B CE,30952
Tackle_ManualAssistance_Time,DD 69 B2 26 0B E6 80 31,31032
Tackle_PossessionMaxRelVelVSBall,49 86 CE A2 A2 A4 AD 90,
Tackle_PossessionMaxTimeDifference,98 1E 70 7A AE 24 8C C7,
Tackle_PossessionSlidingMaxRelVelVSBall,68 2F 94 BB 8F 04 18 EF,
Tackle_PossessionSlidingMaxTimeDifference,DD D3 F8 A1 36 8E 5C 62,
Tackle_Range_SkillRemap,1F 6F 1B 9C A5 E5 7D 03,31112
Tackle_RangeAuto_0Skill_0Speed,F6 95 27 22 55 5F 4F D1,31192
Tackle_RangeAuto_0Skill_JogSpeed,30 30 6D 1A ED 5A A8 DA,31272
Tackle_RangeAuto_0Skill_SprintSpeed,13 E2 52 4A 92 9E BD C8,31352
Tackle_RangeAuto_100Skill_0Speed,78 85 3D 46 C8 6A 6D D3,31432
Tackle_RangeAuto_100Skill_JogSpeed,3C 6A 73 D3 C9 DE 72 58,31512
Tackle_RangeAuto_100Skill_SprintSpeed,17 C1 9C 3D F4 01 E7 BA,31592
Tackle_RangeManual_0Skill_0Speed,C6 B6 AC 31 67 CE 78 87,31672
Tackle_RangeManual_0Skill_JogSpeed,59 47 8D 72 3F 80 E9 44,31752
Tackle_RangeManual_0Skill_SprintSpeed,3A 5E 46 18 0F 06 6C 31,31832
Tackle_RangeManual_100Skill_0Speed,39 A0 8F C4 93 6C E3 DD,31912
Tackle_RangeManual_100Skill_JogSpeed,76 01 D1 F2 41 A8 80 1E,31992
Tackle_RangeManual_100Skill_SprintSpeed,3F 97 DD 23 66 79 8B CB,32072
Tackle_SkillMoveDurationFeint_Modifier,DE 68 2F 2E CF F2 F3 57,32152
Tackle_SlideChaseAngle,E1 2C 47 66 54 F7 7E B7,
Tackle_SlideTackleBonusRotation,69 42 34 BE C3 9D 5C B0,
Tackle_SlideTackleChaseDistanceMin,B7 F1 D0 F4 D8 D2 32 E5,
Tackle_SlideTackleInAccuracyMultiplier,61 8C 8F 68 62 0F 35 F5,
Tackle_SlideTackleMaxCoverageModifier,B8 19 5A B8 DA 7B B7 C8,32232
Tackle_SprintTackleMaxDistance_Best,B9 CB 64 6D 3A A9 FC 0D,
Tackle_SprintTackleMaxDistance_Worst,3F 0C 46 CF 8E 34 8F 72,
Tackle_StandingStunFail_SpeedFactor_Best,F2 AE B5 BE 45 3B 37 FF,
Tackle_StandingStunFail_SpeedFactor_Worst,55 82 44 44 5A 32 7F 0D,
Tackle_StandingStunFail_Time_Best,3F A9 CD 41 D9 75 70 36,
Tackle_StandingStunFail_Time_Worst,08 19 AD 95 56 E8 8C D5,
Tackle_StandingStunSuccess_SpeedFactor_Best,70 3A 30 B0 99 41 06 8B,
Tackle_StandingStunSuccess_SpeedFactor_Worst,CF 94 9E CB B4 D7 F8 31,
Tackle_StandingStunSuccess_Time_Best,88 8D 45 24 C7 FE 34 F4,
Tackle_StandingStunSuccess_Time_Worst,24 27 2A 30 B8 BE 36 B1,
Tackle_StandTackleCloseMissRange,79 6C BD 55 C6 2F DE 17,
Tackle_StandTackleMaxDistance_Best,3A 41 93 48 AE CE B3 19,
Tackle_StandTackleMaxDistance_Worst,78 B3 6D 9E B8 92 82 03,
Tackle_StrafeDistanceOffset,1D 17 4E 8A B1 36 00 A2,
unknown,38 3E 62 E6 FA EC D5 96,
unknown,61 A4 52 DC E8 0A 6B 33,
